user_id,merchant_id,label,item_id,cat_id,seller_id,brand_id,time_stamp,action_type,age_range,gender,avg_user_age_category,purchase_ratio,purchase_average_time,interaction_count,distinct_cat_per_user_merchant,age_avg_per_merchant,distinct_brand_per_user_merchant,add_to_cart_to_click_ratio_per_merchant,avg_user_age_merchant,purchase_frequency,Day,Month
18306,3734,0,798188,177,3479,4415,702,0,3,2,3.0759929792628227,0.0,8.984848484848484,1444,161,2.976548406494288,319,0.0,2.976548406494288,0.1696675900277008,2,7.0
22914,2286,0,760357,389,4310,3320,1111,0,4,0,3.413308747762894,0.0,21.25,250,81,4.0,98,0.0,4.0,0.52,11,11.0
29826,4143,0,1010959,662,3213,2651,1008,0,4,0,3.251000762485704,0.0,36.375,510,33,4.0,49,0.0,4.0,0.4352941176470588,8,10.0
25218,1500,0,1100608,1389,4976,6143,520,0,0,0,3.261829268292683,0.0,16.5,566,52,0.0,99,0.0,0.0,0.1996466431095406,20,5.0
18306,4733,0,926925,1505,3698,2104,704,0,3,2,3.3372549019607844,0.0,8.984848484848484,1444,161,3.0,319,0.0,3.0,0.1696675900277008,4,7.0
18306,1357,0,36738,1238,3128,8391,529,0,3,2,3.391489361702128,0.0,8.984848484848484,1444,161,3.0,319,0.0,3.0,0.1696675900277008,29,5.0
18306,1031,0,121473,177,3165,5913,704,0,3,2,3.0759929792628227,1.0,8.984848484848484,1444,161,2.967501692620176,319,0.0,2.967501692620176,0.1696675900277008,4,7.0
226434,1712,0,65954,1075,4192,6999,726,2,5,0,3.209338221107467,1.0,48.5,125,34,5.0,58,0.0,5.0,0.168,26,7.0
18306,3734,0,884452,1075,1418,7141,716,0,3,2,3.209338221107467,0.0,8.984848484848484,1444,161,2.976548406494288,319,0.0,2.976548406494288,0.1696675900277008,16,7.0
225666,3042,0,920082,119,3481,4704,1111,3,4,1,4.085321471896482,1.5,20.0,549,102,4.0,126,0.0,4.0,0.3551912568306011,11,11.0
18306,4992,0,401398,1647,1901,2196,729,0,3,2,3.0241359335779108,0.0,8.984848484848484,1444,161,3.0,319,0.0,3.0,0.1696675900277008,29,7.0
230019,4911,0,852999,1553,2362,2221,1110,0,2,0,3.2911102632582985,0.0,9.61904761904762,168,41,2.0,71,0.0,2.0,0.2619047619047619,10,11.0
89730,1102,0,559111,833,437,7980,615,0,6,0,5.33233801134667,0.0,21.357142857142858,179,39,6.0,51,0.0,6.0,0.7094972067039106,15,6.0
241539,649,0,1069083,1095,4173,5376,905,0,6,0,3.2593782929399366,0.0,40.1,186,33,6.0,54,0.0,6.0,0.1344086021505376,5,9.0
18306,1357,0,713720,407,1418,7141,716,0,3,2,3.398482568347128,0.0,8.984848484848484,1444,161,3.0,319,0.0,3.0,0.1696675900277008,16,7.0
18306,4733,0,1058489,656,4567,1455,1027,0,3,2,3.187194791101465,0.0,8.984848484848484,1444,161,3.0,319,0.0,3.0,0.1696675900277008,27,10.0
353154,4325,0,847614,551,320,6861,1105,0,4,0,1.8037735849056604,0.0,49.333333333333336,98,45,4.0,55,0.0,4.0,0.2959183673469387,5,11.0
34179,1861,0,475719,229,34,813,1111,0,3,0,3.3835595070971767,0.0,0.0,41,13,3.0,18,0.0,3.0,0.1707317073170731,11,11.0
303747,3314,0,810678,692,1599,1287,1102,0,5,1,3.867437722419929,0.0,8.0,43,4,5.0,6,0.0,5.0,0.1627906976744186,2,11.0
152706,3161,0,558106,737,3585,7110,911,0,6,0,4.085285601474072,0.0,34.166666666666664,412,23,6.0,140,0.0,6.0,0.0631067961165048,11,9.0
18306,1031,0,242947,1528,4243,2706,1111,0,3,2,3.019659367396593,0.0,8.984848484848484,1444,161,2.967501692620176,319,0.0,2.967501692620176,0.1696675900277008,11,11.0
18306,3734,0,492954,1085,899,6568,921,2,3,2,3.0,0.6666666666666666,8.984848484848484,1444,161,2.976548406494288,319,0.0,2.976548406494288,0.1696675900277008,21,9.0
238467,2193,0,953525,1188,3555,7581,814,0,6,1,3.2761654038782586,0.0,120.0,253,56,6.0,118,0.0,6.0,0.8537549407114624,14,8.0
18306,4733,0,1061407,1174,2200,4937,806,0,3,2,3.067715458276334,0.0,8.984848484848484,1444,161,3.0,319,0.0,3.0,0.1696675900277008,6,8.0
149634,742,0,148579,302,416,4014,809,0,6,0,3.2990863832813613,0.25,13.333333333333334,436,43,5.802946593001842,59,0.0,5.802946593001842,0.3211009174311927,9,8.0
18306,1357,0,95949,656,2799,568,1109,0,3,2,3.187194791101465,0.0,8.984848484848484,1444,161,3.0,319,0.0,3.0,0.1696675900277008,9,11.0
18306,1357,0,927381,1505,606,376,920,0,3,2,3.3372549019607844,0.0,8.984848484848484,1444,161,3.0,319,0.0,3.0,0.1696675900277008,20,9.0
237699,4947,0,294690,1611,2064,3888,1102,0,0,0,3.278854421588729,0.6666666666666666,62.875,72,24,0.0,42,0.0,0.0,0.25,2,11.0
18306,4992,0,84853,1438,3734,2045,1110,0,3,2,3.0093069429794626,1.0,8.984848484848484,1444,161,3.0,319,0.0,3.0,0.1696675900277008,10,11.0
18306,4992,0,82200,1413,474,6374,804,0,3,2,3.0393175074183976,0.0,8.984848484848484,1444,161,3.0,319,0.0,3.0,0.1696675900277008,4,8.0
226434,1712,0,897766,106,722,7282,1102,0,5,0,3.957661290322581,0.0,48.5,125,34,5.0,58,0.0,5.0,0.168,2,11.0
18306,1031,0,545726,1401,148,1189,802,2,3,2,2.915963809231713,1.0,8.984848484848484,1444,161,2.967501692620176,319,0.0,2.967501692620176,0.1696675900277008,2,8.0
365955,2436,0,210427,1036,4234,5674,521,2,0,0,1.6494565217391304,2.0,73.75,76,29,0.0,50,0.0,0.0,0.2368421052631578,21,5.0
104835,4618,0,202977,1095,1134,1906,908,0,0,0,3.2593782929399366,1.0,36.9375,51,23,0.0,24,0.0,0.0,0.6666666666666666,8,9.0
18306,3734,0,268181,177,318,4275,916,0,3,2,3.0759929792628227,0.6666666666666666,8.984848484848484,1444,161,2.976548406494288,319,0.0,2.976548406494288,0.1696675900277008,16,9.0
18306,4733,0,20638,1142,606,376,902,0,3,2,3.367619047619048,0.0,8.984848484848484,1444,161,3.0,319,0.0,3.0,0.1696675900277008,2,9.0
152706,3161,0,918445,662,4915,3677,831,0,6,0,3.251000762485704,0.0,34.166666666666664,412,23,6.0,140,0.0,6.0,0.0631067961165048,31,8.0
18306,3734,0,848027,1505,141,3614,603,0,3,2,3.3372549019607844,0.0,8.984848484848484,1444,161,2.976548406494288,319,0.0,2.976548406494288,0.1696675900277008,3,6.0
