user_id,merchant_id,label,item_id,cat_id,seller_id,brand_id,time_stamp,action_type,age_range,gender
344706,1825,0,1056812,451,472,2471,1103,0,5,0
344706,1825,0,1067615,451,3334,6352,1103,0,5,0
344706,1825,0,726039,276,2026,3979,1103,0,5,0
344706,1825,0,844714,451,472,2471,1103,0,5,0
344706,1825,0,329731,1344,327,1954,808,0,5,0
344706,1825,0,112203,1252,4026,1469,1103,0,5,0
344706,1825,0,917973,1467,173,4509,909,0,5,0
344706,1825,0,633989,1467,4567,1455,909,0,5,0
344706,1825,0,752402,656,4254,3661,909,0,5,0
344706,1825,0,267411,1252,128,8473,1105,0,5,0
344706,1825,0,162672,662,1750,5936,921,0,5,0
344706,1825,0,918551,662,1750,5936,921,0,5,0
344706,1825,0,784801,662,1750,5936,921,0,5,0
344706,1825,0,920015,1577,3526,5997,921,0,5,0
344706,1825,0,439188,302,1750,5936,921,0,5,0
344706,1825,0,324030,713,1679,7931,717,0,5,0
344706,1825,0,941558,1577,3526,5997,921,0,5,0
344706,1825,0,334161,662,1750,5936,921,0,5,0
344706,1825,0,1031468,1577,3526,5997,921,0,5,0
344706,1825,0,690510,662,1750,5936,921,0,5,0
344706,1825,0,267237,1505,33,1519,921,0,5,0
344706,1825,0,918551,662,1750,5936,921,2,5,0
344706,1825,0,445558,662,3033,7878,921,0,5,0
344706,1825,0,470739,1505,33,1519,921,0,5,0
344706,1825,0,438943,199,207,982,1111,0,5,0
344706,1825,0,339091,199,207,982,1111,0,5,0
344706,1825,0,625649,276,4277,2641,1111,0,5,0
344706,1825,0,973354,56,4519,5625,1111,0,5,0
344706,1825,0,734703,56,749,2630,1111,0,5,0
344706,1825,0,1066918,1252,1825,2755,1111,0,5,0
344706,1825,0,153555,1142,3013,5046,1111,0,5,0
344706,1825,0,147530,1208,207,982,1111,0,5,0
344706,1825,0,180572,1252,1825,2755,1111,0,5,0
344706,1825,0,964916,1208,422,2276,1111,0,5,0
344706,1825,0,714844,1252,1825,2755,1111,0,5,0
344706,1825,0,44166,56,196,1069,1111,0,5,0
344706,1825,0,661948,1252,3172,8031,1111,0,5,0
344706,1825,0,147530,1208,207,982,1111,2,5,0
